1986,38283609.62,15.04
1987,38246511.12,19.17
1988,40342658.72,15.98
1989,41961891.79,19.64
1990,42706640.92,24.47
1991,42966041.24,21.5
1992,43051014.32,20.56
1993,43185790.61,18.45
1994,44327921.14,17.19
1995,44908171.54,18.44
1996,46299317.92,22.11
1997,47200255.93,20.61
1998,48153009.33,14.45
1999,49922748.23,19.26
2000,48699303.45,30.3
2001,48724379.85,25.95
2002,46146282.21,26.12
2003,47950857.04,31.12
2004,48934350.31,41.44
2005,51033841.45,56.49
2006,51276244.92,66.02
2007,52919096.82,72.32
2008,54967633.16,99.57
2009,53833779.19,61.65
2010,55199079.52,79.4
2011,57382300.35,94.87
2012,58140311.14,94.11
2013,58801863.08,97.91
2014,58927826.57,93.26
2015,58194928.57,48.69
2016,60021826.06,43.14
2017,60559256.19,50.88
2018,65868389.61,64.94
