Area,Item,Tonnes,Item,Tonnes
Sierra Leone,Cassava,4778393,Cassava,27486
Singapore,Cassava,0,Cassava,1027476
Solomon Islands,Cassava,3213,Cassava,6066
Somalia,Cassava,92826,Cassava,2530
South Sudan,Cassava,130366,Cassava,2885446
Sri Lanka,Cassava,317504,Cassava,5575304
Suriname,Cassava,4915,Cassava,306395
Thailand,Cassava,31161000,Cassava,11045184
Timor-Leste,Cassava,27486,Cassava,1781
Togo,Cassava,1027476,Cassava,1010298
Tonga,Cassava,6066,Cassava,238329
Trinidad and Tobago,Cassava,2530,Cassava Sum,281896830
Uganda,Cassava,2885446,Cassava leaves,71033
United Republic of Tanzania,Cassava,5575304,Cassava leaves Sum,71033
Venezuela (Bolivarian Republic of),Cassava,306395,Castor oil seed,4097
Viet Nam,Cassava,11045184,Castor oil seed,0
Wallis and Futuna Islands,Cassava,1781,Castor oil seed,272
Zambia,Cassava,1010298,Castor oil seed,641
Zimbabwe,Cassava,238329,Castor oil seed,24620
,Cassava Sum,5577834,Castor oil seed,
Congo,Cassava leaves,71033,Castor oil seed,0
,Cassava leaves Sum,0,Castor oil seed,77
Angola,Castor oil seed,4097,Castor oil seed,1281
Argentina,Castor oil seed,0,Castor oil seed,40000
Bangladesh,Castor oil seed,272,Castor oil seed,40000
Benin,Castor oil seed,641,Castor oil seed,
Brazil,Castor oil seed,24620,Castor oil seed,3000
Bulgaria,Castor oil seed,,Castor oil seed,0
Burundi,Castor oil seed,0,Castor oil seed,10000
Cabo Verde,Castor oil seed,77,Castor oil seed,1551
Cambodia,Castor oil seed,1281,Castor oil seed,
China,Castor oil seed,40000,Castor oil seed,1554000
"China, mainland",Castor oil seed,40000,Castor oil seed,1620
"China, Taiwan Province of",Castor oil seed,,Castor oil seed,128
Ecuador,Castor oil seed,3000,Castor oil seed,0
El Salvador,Castor oil seed,0,Castor oil seed,3000
Ethiopia,Castor oil seed,10000,Castor oil seed,
Haiti,Castor oil seed,1551,Castor oil seed,2733
Hungary,Castor oil seed,,Castor oil seed,9322
India,Castor oil seed,1554000,Castor oil seed,115
Indonesia,Castor oil seed,1620,Castor oil seed,77424
Iran (Islamic Republic of),Castor oil seed,128,Castor oil seed,12086
Italy,Castor oil seed,0,Castor oil seed,2320
Kenya,Castor oil seed,3000,Castor oil seed,8732
Libya,Castor oil seed,,Castor oil seed,0
Madagascar,Castor oil seed,2733,Castor oil seed,39
Mexico,Castor oil seed,9322,Castor oil seed,0
Morocco,Castor oil seed,115,Castor oil seed,16
Mozambique,Castor oil seed,77424,Castor oil seed,
Myanmar,Castor oil seed,12086,Castor oil seed,6371
Pakistan,Castor oil seed,2320,Castor oil seed,1000
Paraguay,Castor oil seed,8732,Castor oil seed,1594
Peru,Castor oil seed,0,Castor oil seed,697
Philippines,Castor oil seed,39,Castor oil seed,80
Republic of Korea,Castor oil seed,0,Castor oil seed,1000
Romania,Castor oil seed,16,Castor oil seed,
Russian Federation,Castor oil seed,,Castor oil seed,3000
South Africa,Castor oil seed,6371,Castor oil seed,
Sudan,Castor oil seed,1000,Castor oil seed,6803
Syrian Arab Republic,Castor oil seed,1594,Castor oil seed Sum,1817619
Thailand,Castor oil seed,697,Cauliflowers and broccoli,5891
Togo,Castor oil seed,80,Cauliflowers and broccoli,205148
Uganda,Castor oil seed,1000,Cauliflowers and broccoli,13179
Ukraine,Castor oil seed,,Cauliflowers and broccoli,121347
United Republic of Tanzania,Castor oil seed,3000,Cauliflowers and broccoli,5886
United States of America,Castor oil seed,,Cauliflowers and broccoli,595
Viet Nam,Castor oil seed,6803,Cauliflowers and broccoli,268484
,Castor oil seed Sum,1594,Cauliflowers and broccoli,112706
Albania,Cauliflowers and broccoli,5891,Cauliflowers and broccoli,2327
Algeria,Cauliflowers and broccoli,205148,Cauliflowers and broccoli,696
Armenia,Cauliflowers and broccoli,13179,Cauliflowers and broccoli,2125
Australia,Cauliflowers and broccoli,121347,Cauliflowers and broccoli,88
Austria,Cauliflowers and broccoli,5886,Cauliflowers and broccoli,38403
Bahrain,Cauliflowers and broccoli,595,Cauliflowers and broccoli,24491
Bangladesh,Cauliflowers and broccoli,268484,Cauliflowers and broccoli,10263746
Belgium,Cauliflowers and broccoli,112706,Cauliflowers and broccoli,10180881
Bhutan,Cauliflowers and broccoli,2327,Cauliflowers and broccoli,82865
Bolivia (Plurinational State of),Cauliflowers and broccoli,696,Cauliflowers and broccoli,11892
Bulgaria,Cauliflowers and broccoli,2125,Cauliflowers and broccoli,364
Cabo Verde,Cauliflowers and broccoli,88,Cauliflowers and broccoli,2778
Canada,Cauliflowers and broccoli,38403,Cauliflowers and broccoli,1996
Chile,Cauliflowers and broccoli,24491,Cauliflowers and broccoli,2633
China,Cauliflowers and broccoli,10263746,Cauliflowers and broccoli,5080
"China, mainland",Cauliflowers and broccoli,10180881,Cauliflowers and broccoli,122334
"China, Taiwan Province of",Cauliflowers and broccoli,82865,Cauliflowers and broccoli,172598
Colombia,Cauliflowers and broccoli,11892,Cauliflowers and broccoli,170
Costa Rica,Cauliflowers and broccoli,364,Cauliflowers and broccoli,3404
Croatia,Cauliflowers and broccoli,2778,Cauliflowers and broccoli,308488
Cyprus,Cauliflowers and broccoli,1996,Cauliflowers and broccoli,122432
Czechia,Cauliflowers and broccoli,2633,Cauliflowers and broccoli,50817
Denmark,Cauliflowers and broccoli,5080,Cauliflowers and broccoli,26
Ecuador,Cauliflowers and broccoli,122334,Cauliflowers and broccoli,117912
Egypt,Cauliflowers and broccoli,172598,Cauliflowers and broccoli,889
Estonia,Cauliflowers and broccoli,170,Cauliflowers and broccoli,19203
Finland,Cauliflowers and broccoli,3404,Cauliflowers and broccoli,60
France,Cauliflowers and broccoli,308488,Cauliflowers and broccoli,8199000
Germany,Cauliflowers and broccoli,122432,Cauliflowers and broccoli,142851
Greece,Cauliflowers and broccoli,50817,Cauliflowers and broccoli,56405
Grenada,Cauliflowers and broccoli,26,Cauliflowers and broccoli,13483
Guatemala,Cauliflowers and broccoli,117912,Cauliflowers and broccoli,10800
Honduras,Cauliflowers and broccoli,889,Cauliflowers and broccoli,27033
Hungary,Cauliflowers and broccoli,19203,Cauliflowers and broccoli,388281
Iceland,Cauliflowers and broccoli,60,Cauliflowers and broccoli,1897
India,Cauliflowers and broccoli,8199000,Cauliflowers and broccoli,173967
Indonesia,Cauliflowers and broccoli,142851,Cauliflowers and broccoli,93699
Iran (Islamic Republic of),Cauliflowers and broccoli,56405,Cauliflowers and broccoli,2039
Iraq,Cauliflowers and broccoli,13483,Cauliflowers and broccoli,941
Ireland,Cauliflowers and broccoli,10800,Cauliflowers and broccoli,2994
Israel,Cauliflowers and broccoli,27033,Cauliflowers and broccoli,1332
Italy,Cauliflowers and broccoli,388281,Cauliflowers and broccoli,936
Jamaica,Cauliflowers and broccoli,1897,Cauliflowers and broccoli,21071
Japan,Cauliflowers and broccoli,173967,Cauliflowers and broccoli,5166
Jordan,Cauliflowers and broccoli,93699,Cauliflowers and broccoli,1449
Kazakhstan,Cauliflowers and broccoli,2039,Cauliflowers and broccoli,24
Kenya,Cauliflowers and broccoli,941,Cauliflowers and broccoli,267
Kuwait,Cauliflowers and broccoli,2994,Cauliflowers and broccoli,6776
Kyrgyzstan,Cauliflowers and broccoli,1332,Cauliflowers and broccoli,2300
Latvia,Cauliflowers and broccoli,936,Cauliflowers and broccoli,583279
Lebanon,Cauliflowers and broccoli,21071,Cauliflowers and broccoli,60437
Libya,Cauliflowers and broccoli,5166,Cauliflowers and broccoli,1665
Lithuania,Cauliflowers and broccoli,1449,Cauliflowers and broccoli,62300
Luxembourg,Cauliflowers and broccoli,24,Cauliflowers and broccoli,45569
Madagascar,Cauliflowers and broccoli,267,Cauliflowers and broccoli,14131
Malta,Cauliflowers and broccoli,6776,Cauliflowers and broccoli,22294
Mauritius,Cauliflowers and broccoli,2300,Cauliflowers and broccoli,22560
Mexico,Cauliflowers and broccoli,583279,Cauliflowers and broccoli,219582
Morocco,Cauliflowers and broccoli,60437,Cauliflowers and broccoli,19230
Nepal,Cauliflowers and broccoli,1665,Cauliflowers and broccoli,14501
Netherlands,Cauliflowers and broccoli,62300,Cauliflowers and broccoli,314738
New Zealand,Cauliflowers and broccoli,45569,Cauliflowers and broccoli,46521
Norway,Cauliflowers and broccoli,14131,Cauliflowers and broccoli,2496
Occupied Palestinian Territory,Cauliflowers and broccoli,22294,Cauliflowers and broccoli,71
Oman,Cauliflowers and broccoli,22560,Cauliflowers and broccoli,810
Pakistan,Cauliflowers and broccoli,219582,Cauliflowers and broccoli,5894
Peru,Cauliflowers and broccoli,19230,Cauliflowers and broccoli,39935
Philippines,Cauliflowers and broccoli,14501,Cauliflowers and broccoli,7402
Poland,Cauliflowers and broccoli,314738,Cauliflowers and broccoli,423
Portugal,Cauliflowers and broccoli,46521,Cauliflowers and broccoli,1395
Qatar,Cauliflowers and broccoli,2496,Cauliflowers and broccoli,12255
Republic of Korea,Cauliflowers and broccoli,71,Cauliflowers and broccoli,605161
Republic of Moldova,Cauliflowers and broccoli,810,Cauliflowers and broccoli,787
R??union,Cauliflowers and broccoli,5894,Cauliflowers and broccoli,7670
Romania,Cauliflowers and broccoli,39935,Cauliflowers and broccoli,12609
Russian Federation,Cauliflowers and broccoli,7402,Cauliflowers and broccoli,19563
Slovakia,Cauliflowers and broccoli,423,Cauliflowers and broccoli,17425
Slovenia,Cauliflowers and broccoli,1395,Cauliflowers and broccoli,541
South Africa,Cauliflowers and broccoli,12255,Cauliflowers and broccoli,197
Spain,Cauliflowers and broccoli,605161,Cauliflowers and broccoli,14349
Sudan,Cauliflowers and broccoli,787,Cauliflowers and broccoli,250330
Sweden,Cauliflowers and broccoli,7670,Cauliflowers and broccoli,26400
Switzerland,Cauliflowers and broccoli,12609,Cauliflowers and broccoli,5881
Syrian Arab Republic,Cauliflowers and broccoli,19563,Cauliflowers and broccoli,151779
Thailand,Cauliflowers and broccoli,17425,Cauliflowers and broccoli,1321060
The former Yugoslav Republic of Macedonia,Cauliflowers and broccoli,541,Cauliflowers and broccoli,26157
Trinidad and Tobago,Cauliflowers and broccoli,197,Cauliflowers and broccoli,115113
Tunisia,Cauliflowers and broccoli,14349,Cauliflowers and broccoli,311
Turkey,Cauliflowers and broccoli,250330,Cauliflowers and broccoli Sum,35497466
Ukraine,Cauliflowers and broccoli,26400,"Cereals, nes",16349
United Arab Emirates,Cauliflowers and broccoli,5881,"Cereals, nes",21117
United Kingdom,Cauliflowers and broccoli,151779,"Cereals, nes",47311
United States of America,Cauliflowers and broccoli,1321060,"Cereals, nes",18932
Venezuela (Bolivarian Republic of),Cauliflowers and broccoli,26157,"Cereals, nes",1094
Viet Nam,Cauliflowers and broccoli,115113,"Cereals, nes",774
Zimbabwe,Cauliflowers and broccoli,311,"Cereals, nes",3818
,Cauliflowers and broccoli Sum,250330,"Cereals, nes",1536
Argentina,"Cereals, nes",16349,"Cereals, nes",3721
Armenia,"Cereals, nes",21117,"Cereals, nes",453716
Austria,"Cereals, nes",47311,"Cereals, nes",48716
Belarus,"Cereals, nes",18932,"Cereals, nes",48322
Bhutan,"Cereals, nes",1094,"Cereals, nes",394
Bolivia (Plurinational State of),"Cereals, nes",774,"Cereals, nes",2616
Botswana,"Cereals, nes",3818,"Cereals, nes",7744
Bulgaria,"Cereals, nes",1536,"Cereals, nes",26598
Burundi,"Cereals, nes",3721,"Cereals, nes",5020440
Chad,"Cereals, nes",453716,"Cereals, nes",3019
China,"Cereals, nes",48716,"Cereals, nes",166358
"China, mainland","Cereals, nes",48322,"Cereals, nes",803
"China, Taiwan Province of","Cereals, nes",394,"Cereals, nes",7512
Congo,"Cereals, nes",2616,"Cereals, nes",4393
Czechia,"Cereals, nes",7744,"Cereals, nes",1834
Eritrea,"Cereals, nes",26598,"Cereals, nes",3001
Ethiopia,"Cereals, nes",5020440,"Cereals, nes",1591
Finland,"Cereals, nes",3019,"Cereals, nes",91975
France,"Cereals, nes",166358,"Cereals, nes",448394
Gambia,"Cereals, nes",803,"Cereals, nes",101
Georgia,"Cereals, nes",7512,"Cereals, nes",594
Greece,"Cereals, nes",4393,"Cereals, nes",138
Guinea-Bissau,"Cereals, nes",1834,"Cereals, nes",6052
Hungary,"Cereals, nes",3001,"Cereals, nes",1971
Ireland,"Cereals, nes",1591,"Cereals, nes",3614
Italy,"Cereals, nes",91975,"Cereals, nes",12270
Kazakhstan,"Cereals, nes",448394,"Cereals, nes",15985
Lithuania,"Cereals, nes",101,"Cereals, nes",1413
Luxembourg,"Cereals, nes",594,"Cereals, nes",741
Mali,"Cereals, nes",138,"Cereals, nes",1376
Mexico,"Cereals, nes",6052,"Cereals, nes",7775
Mongolia,"Cereals, nes",1971,"Cereals, nes",2539
Morocco,"Cereals, nes",3614,"Cereals, nes",125
Myanmar,"Cereals, nes",12270,"Cereals, nes",18185
New Zealand,"Cereals, nes",15985,"Cereals, nes",7365
Niger,"Cereals, nes",1413,"Cereals, nes",21278
Occupied Palestinian Territory,"Cereals, nes",741,"Cereals, nes",
Oman,"Cereals, nes",1376,"Cereals, nes",9329
Peru,"Cereals, nes",7775,"Cereals, nes",10577
Poland,"Cereals, nes",2539,"Cereals, nes",158
Qatar,"Cereals, nes",125,"Cereals, nes",840
Republic of Korea,"Cereals, nes",18185,"Cereals, nes",20464
Romania,"Cereals, nes",7365,"Cereals, nes",63560
Russian Federation,"Cereals, nes",21278,"Cereals, nes",82
Senegal,"Cereals, nes",,"Cereals, nes",249135
Serbia,"Cereals, nes",9329,"Cereals, nes",2789
Sierra Leone,"Cereals, nes",10577,"Cereals, nes",34000
Slovakia,"Cereals, nes",158,"Cereals, nes",6370
Slovenia,"Cereals, nes",840,"Cereals, nes",29588
South Africa,"Cereals, nes",20464,"Cereals, nes",13610
Spain,"Cereals, nes",63560,"Cereals, nes",2324
Switzerland,"Cereals, nes",82,"Cereals, nes Sum",6996426
Thailand,"Cereals, nes",249135,Cherries,19261
Togo,"Cereals, nes",2789,Cherries,6903
Tunisia,"Cereals, nes",34000,Cherries,7113
Ukraine,"Cereals, nes",6370,Cherries,12059
United Republic of Tanzania,"Cereals, nes",29588,Cherries,18374
Uzbekistan,"Cereals, nes",13610,Cherries,3533
Zimbabwe,"Cereals, nes",2324,Cherries,9836
,"Cereals, nes Sum",82,Cherries,6060
Albania,Cherries,19261,Cherries,5647
Algeria,Cherries,6903,Cherries,854
Argentina,Cherries,7113,Cherries,9854
Armenia,Cherries,12059,Cherries,38496
Australia,Cherries,18374,Cherries,15648
Austria,Cherries,3533,Cherries,123224
Azerbaijan,Cherries,9836,Cherries,37531
Belarus,Cherries,6060,Cherries,37531
Belgium,Cherries,5647,Cherries,1482
Bolivia (Plurinational State of),Cherries,854,Cherries,401
Bosnia and Herzegovina,Cherries,9854,Cherries,2535
Bulgaria,Cherries,38496,Cherries,1010
Canada,Cherries,15648,Cherries,111
Chile,Cherries,123224,Cherries,34733
China,Cherries,37531,Cherries,3700
"China, mainland",Cherries,37531,Cherries,29373
Croatia,Cherries,1482,Cherries,71858
Cyprus,Cherries,401,Cherries,
Czechia,Cherries,2535,Cherries,2210
Denmark,Cherries,1010,Cherries,9138
Estonia,Cherries,111,Cherries,10936
France,Cherries,34733,Cherries,220393
Georgia,Cherries,3700,Cherries,3500
Germany,Cherries,29373,Cherries,94888
Greece,Cherries,71858,Cherries,19800
Guam,Cherries,,Cherries,974
Guyana,Cherries,2210,Cherries,11146
Hungary,Cherries,9138,Cherries,4515
India,Cherries,10936,Cherries,84
Iran (Islamic Republic of),Cherries,220393,Cherries,19384
Israel,Cherries,3500,Cherries,1425
Italy,Cherries,94888,Cherries,11
Japan,Cherries,19800,Cherries,207
Jordan,Cherries,974,Cherries,2061
Kazakhstan,Cherries,11146,Cherries,8093
Kyrgyzstan,Cherries,4515,Cherries,394
Latvia,Cherries,84,Cherries,1973
Lebanon,Cherries,19384,Cherries,686
Lithuania,Cherries,1425,Cherries,1179
Luxembourg,Cherries,11,Cherries,2115
Mexico,Cherries,207,Cherries,191
Montenegro,Cherries,2061,Cherries,53773
Morocco,Cherries,8093,Cherries,7362
Netherlands,Cherries,394,Cherries,7596
New Zealand,Cherries,1973,Cherries,73834
Norway,Cherries,686,Cherries,46089
Occupied Palestinian Territory,Cherries,1179,Cherries,17385
Pakistan,Cherries,2115,Cherries,603
Peru,Cherries,191,Cherries,4079
Poland,Cherries,53773,Cherries,298
Portugal,Cherries,7362,Cherries,94138
Republic of Moldova,Cherries,7596,Cherries,902
Romania,Cherries,73834,Cherries,100
Russian Federation,Cherries,46089,Cherries,8285
Serbia,Cherries,17385,Cherries,69153
Slovakia,Cherries,603,Cherries,5574
Slovenia,Cherries,4079,Cherries,5471
South Africa,Cherries,298,Cherries,599650
Spain,Cherries,94138,Cherries,63320
Suriname,Cherries,902,Cherries,1700
Sweden,Cherries,100,Cherries,288480
Switzerland,Cherries,8285,Cherries,95267
Syrian Arab Republic,Cherries,69153,Cherries Sum,2355489
The former Yugoslav Republic of Macedonia,Cherries,5574,"Cherries, sour",17818
Tunisia,Cherries,5471,"Cherries, sour",3818
Turkey,Cherries,599650,"Cherries, sour",426
Ukraine,Cherries,63320,"Cherries, sour",34856
United Kingdom,Cherries,1700,"Cherries, sour",36740
United States of America,Cherries,288480,"Cherries, sour",68
Uzbekistan,Cherries,95267,"Cherries, sour",5072
,Cherries Sum,69153,"Cherries, sour",3546
Albania,"Cherries, sour",17818,"Cherries, sour",4730
Armenia,"Cherries, sour",3818,"Cherries, sour",175
Austria,"Cherries, sour",426,"Cherries, sour",7827
Azerbaijan,"Cherries, sour",34856,"Cherries, sour",6678
Belarus,"Cherries, sour",36740,"Cherries, sour",2640
Bolivia (Plurinational State of),"Cherries, sour",68,"Cherries, sour",15969
Bosnia and Herzegovina,"Cherries, sour",5072,"Cherries, sour",1755
Bulgaria,"Cherries, sour",3546,"Cherries, sour",67794
Canada,"Cherries, sour",4730,"Cherries, sour",94606
Chile,"Cherries, sour",175,"Cherries, sour",7571
Croatia,"Cherries, sour",7827,"Cherries, sour",225
Czechia,"Cherries, sour",6678,"Cherries, sour",1225
Denmark,"Cherries, sour",2640,"Cherries, sour",194817
Germany,"Cherries, sour",15969,"Cherries, sour",188
Greece,"Cherries, sour",1755,"Cherries, sour",4123
Hungary,"Cherries, sour",67794,"Cherries, sour",230443
Iran (Islamic Republic of),"Cherries, sour",94606,"Cherries, sour",80596
Italy,"Cherries, sour",7571,"Cherries, sour",29
Kazakhstan,"Cherries, sour",225,"Cherries, sour",577
Peru,"Cherries, sour",1225,"Cherries, sour",1929
Poland,"Cherries, sour",194817,"Cherries, sour",8072
Portugal,"Cherries, sour",188,"Cherries, sour",192500
Republic of Moldova,"Cherries, sour",4123,"Cherries, sour",156450
Russian Federation,"Cherries, sour",230443,"Cherries, sour",140210
Serbia,"Cherries, sour",80596,"Cherries, sour",54742
Slovakia,"Cherries, sour",29,"Cherries, sour Sum",1378215
Slovenia,"Cherries, sour",577,Chestnut,6040
Spain,"Cherries, sour",1929,Chestnut,728
The former Yugoslav Republic of Macedonia,"Cherries, sour",8072,Chestnut,84813
Turkey,"Cherries, sour",192500,Chestnut,1141
Ukraine,"Cherries, sour",156450,Chestnut,0
United States of America,"Cherries, sour",140210,Chestnut,500
Uzbekistan,"Cherries, sour",54742,Chestnut,129
,"Cherries, sour Sum",29,Chestnut,3009
Albania,Chestnut,6040,Chestnut,1879031
Azerbaijan,Chestnut,728,Chestnut,1879031
Bolivia (Plurinational State of),Chestnut,84813,Chestnut,12540
Bosnia and Herzegovina,Chestnut,1141,Chestnut,8642
Brazil,Chestnut,0,Chestnut,31557
Bulgaria,Chestnut,500,Chestnut,223
Cameroon,Chestnut,129,Chestnut,50889
Chile,Chestnut,3009,Chestnut,16500
China,Chestnut,1879031,Chestnut,0
"China, mainland",Chestnut,1879031,Chestnut,512
Democratic People's Republic of Korea,Chestnut,12540,Chestnut,413
France,Chestnut,8642,Chestnut,26780
Greece,Chestnut,31557,Chestnut,56244
Hungary,Chestnut,223,Chestnut,33
Italy,Chestnut,50889,Chestnut,1
Japan,Chestnut,16500,Chestnut,76
Latvia,Chestnut,0,Chestnut,16185
Peru,Chestnut,512,Chestnut,49
Poland,Chestnut,413,Chestnut,501
Portugal,Chestnut,26780,Chestnut,64750
Republic of Korea,Chestnut,56244,Chestnut,226
Romania,Chestnut,33,Chestnut,77
Slovakia,Chestnut,1,Chestnut Sum,4140620
Slovenia,Chestnut,76,Chick peas,19707
Spain,Chestnut,16185,Chick peas,69788
Switzerland,Chestnut,49,Chick peas,874593
The former Yugoslav Republic of Macedonia,Chestnut,501,Chick peas,281
Turkey,Chestnut,64750,Chick peas,7940
Ukraine,Chestnut,226,Chick peas,221
Zimbabwe,Chestnut,77,Chick peas,5626
,Chestnut Sum,1,Chick peas,6065
Algeria,Chick peas,19707,Chick peas,106900
Argentina,Chick peas,69788,Chick peas,364
Australia,Chick peas,874593,Chick peas,14339
Bahrain,Chick peas,281,Chick peas,14339
Bangladesh,Chick peas,7940,Chick peas,137
Bolivia (Plurinational State of),Chick peas,221,Chick peas,102
Bosnia and Herzegovina,Chick peas,5626,Chick peas,
Bulgaria,Chick peas,6065,Chick peas,3
Canada,Chick peas,106900,Chick peas,1315
Chile,Chick peas,364,Chick peas,3795
China,Chick peas,14339,Chick peas,444146
"China, mainland",Chick peas,14339,Chick peas,6527
Colombia,Chick peas,137,Chick peas,43
Cyprus,Chick peas,102,Chick peas,7818984
Czechia,Chick peas,,Chick peas,177493
Dominican Republic,Chick peas,3,Chick peas,1159
Egypt,Chick peas,1315,Chick peas,14850
Eritrea,Chick peas,3795,Chick peas,22328
Ethiopia,Chick peas,444146,Chick peas,2023
Greece,Chick peas,6527,Chick peas,3487
Hungary,Chick peas,43,Chick peas,1985
India,Chick peas,7818984,Chick peas,2671
Iran (Islamic Republic of),Chick peas,177493,Chick peas,65
Iraq,Chick peas,1159,Chick peas,67498
Israel,Chick peas,14850,Chick peas,121567
Italy,Chick peas,22328,Chick peas,44062
Jordan,Chick peas,2023,Chick peas,559390
Kazakhstan,Chick peas,3487,Chick peas,10914
Kenya,Chick peas,1985,Chick peas,234
Lebanon,Chick peas,2671,Chick peas,1708
Libya,Chick peas,65,Chick peas,517107
Malawi,Chick peas,67498,Chick peas,494
Mexico,Chick peas,121567,Chick peas,1325
Morocco,Chick peas,44062,Chick peas,2932
Myanmar,Chick peas,559390,Chick peas,554
Nepal,Chick peas,10914,Chick peas,319908
Niger,Chick peas,234,Chick peas,166
Occupied Palestinian Territory,Chick peas,1708,Chick peas,
Pakistan,Chick peas,517107,Chick peas,26552
Peru,Chick peas,494,Chick peas,12340
Portugal,Chick peas,1325,Chick peas,52071
Republic of Moldova,Chick peas,2932,Chick peas,1146
Romania,Chick peas,554,Chick peas,1656
Russian Federation,Chick peas,319908,Chick peas,5000
Slovakia,Chick peas,166,Chick peas,455000
South Sudan,Chick peas,,Chick peas,5085
Spain,Chick peas,26552,Chick peas,104980
Sudan,Chick peas,12340,Chick peas,107542
Syrian Arab Republic,Chick peas,52071,Chick peas,6443
The former Yugoslav Republic of Macedonia,Chick peas,1146,Chick peas,59890
Togo,Chick peas,1656,Chick peas,447
Tunisia,Chick peas,5000,Chick peas Sum,12107287
Turkey,Chick peas,455000,Chicory roots,300902
Uganda,Chick peas,5085,Chicory roots,100
United Republic of Tanzania,Chick peas,104980,Chicory roots,147
United States of America,Chick peas,107542,Chicory roots,4535
Uzbekistan,Chick peas,6443,Chicory roots,51100
Yemen,Chick peas,59890,Chicory roots,200
Zimbabwe,Chick peas,447,Chicory roots,2867
,Chick peas Sum,5000,Chicory roots,49100
Belgium,Chicory roots,300902,Chicory roots,4886
Bosnia and Herzegovina,Chicory roots,100,Chicory roots,24120
Cameroon,Chicory roots,147,Chicory roots,
Croatia,Chicory roots,4535,Chicory roots,2150
France,Chicory roots,51100,Chicory roots,89
Haiti,Chicory roots,200,Chicory roots,
Kazakhstan,Chicory roots,2867,Chicory roots,
Netherlands,Chicory roots,49100,Chicory roots,3518
Philippines,Chicory roots,4886,Chicory roots,41
Poland,Chicory roots,24120,Chicory roots,8500
Portugal,Chicory roots,,Chicory roots,233
Puerto Rico,Chicory roots,2150,Chicory roots,7360
Qatar,Chicory roots,89,Chicory roots Sum,459848
Romania,Chicory roots,,"Chillies and peppers, green",76810
Russian Federation,Chicory roots,,"Chillies and peppers, green",596670
Serbia,Chicory roots,3518,"Chillies and peppers, green",97
Slovakia,Chicory roots,41,"Chillies and peppers, green",148028
South Africa,Chicory roots,8500,"Chillies and peppers, green",36793
Spain,Chicory roots,233,"Chillies and peppers, green",14547
Ukraine,Chicory roots,7360,"Chillies and peppers, green",54926
,Chicory roots Sum,89,"Chillies and peppers, green",80
Albania,"Chillies and peppers, green",76810,"Chillies and peppers, green",407
Algeria,"Chillies and peppers, green",596670,"Chillies and peppers, green",27048
Antigua and Barbuda,"Chillies and peppers, green",97,"Chillies and peppers, green",2088
Argentina,"Chillies and peppers, green",148028,"Chillies and peppers, green",88268
Australia,"Chillies and peppers, green",36793,"Chillies and peppers, green",6648
Austria,"Chillies and peppers, green",14547,"Chillies and peppers, green",11333
Azerbaijan,"Chillies and peppers, green",54926,"Chillies and peppers, green",53167
Bahrain,"Chillies and peppers, green",80,"Chillies and peppers, green",391
Barbados,"Chillies and peppers, green",407,"Chillies and peppers, green",72030
Belgium,"Chillies and peppers, green",27048,"Chillies and peppers, green",8203
Belize,"Chillies and peppers, green",2088,"Chillies and peppers, green",58903
Benin,"Chillies and peppers, green",88268,"Chillies and peppers, green",53144
Bhutan,"Chillies and peppers, green",6648,"Chillies and peppers, green",32131
Bolivia (Plurinational State of),"Chillies and peppers, green",11333,"Chillies and peppers, green",17458282
Bosnia and Herzegovina,"Chillies and peppers, green",53167,"Chillies and peppers, green",17435376
Brunei Darussalam,"Chillies and peppers, green",391,"Chillies and peppers, green",22906
Bulgaria,"Chillies and peppers, green",72030,"Chillies and peppers, green",23391
Burkina Faso,"Chillies and peppers, green",8203,"Chillies and peppers, green",1
Cameroon,"Chillies and peppers, green",58903,"Chillies and peppers, green",754
Canada,"Chillies and peppers, green",53144,"Chillies and peppers, green",26942
Chile,"Chillies and peppers, green",32131,"Chillies and peppers, green",19257
China,"Chillies and peppers, green",17458282,"Chillies and peppers, green",70956
"China, mainland","Chillies and peppers, green",17435376,"Chillies and peppers, green",1304
"China, Taiwan Province of","Chillies and peppers, green",22906,"Chillies and peppers, green",8521
Colombia,"Chillies and peppers, green",23391,"Chillies and peppers, green",53397
Cook Islands,"Chillies and peppers, green",1,"Chillies and peppers, green",11
Costa Rica,"Chillies and peppers, green",754,"Chillies and peppers, green",41548
C??te d'Ivoire,"Chillies and peppers, green",26942,"Chillies and peppers, green",7273
Croatia,"Chillies and peppers, green",19257,"Chillies and peppers, green",637760
Cuba,"Chillies and peppers, green",70956,"Chillies and peppers, green",9175
Cyprus,"Chillies and peppers, green",1304,"Chillies and peppers, green",61794
Czechia,"Chillies and peppers, green",8521,"Chillies and peppers, green",1026
Democratic People's Republic of Korea,"Chillies and peppers, green",53397,"Chillies and peppers, green",641
Djibouti,"Chillies and peppers, green",11,"Chillies and peppers, green",44035
Dominican Republic,"Chillies and peppers, green",41548,"Chillies and peppers, green",155
Ecuador,"Chillies and peppers, green",7273,"Chillies and peppers, green",5200
Egypt,"Chillies and peppers, green",637760,"Chillies and peppers, green",9375
El Salvador,"Chillies and peppers, green",9175,"Chillies and peppers, green",122400
Ethiopia,"Chillies and peppers, green",61794,"Chillies and peppers, green",112237
Fiji,"Chillies and peppers, green",1026,"Chillies and peppers, green",170
Finland,"Chillies and peppers, green",641,"Chillies and peppers, green",53324
