1986,15.04
1987,19.17
1988,15.98
1989,19.64
1990,24.47
1991,21.50
1992,20.56
1993,18.45
1994,17.19
1995,18.44
1996,22.11
1997,20.61
1998,14.45
1999,19.26
2000,30.30
2001,25.95
2002,26.12
2003,31.12
2004,41.44
2005,56.49
2006,66.02
2007,72.32
2008,99.57
2009,61.65
2010,79.40
2011,94.87
2012,94.11
2013,97.91
2014,93.26
2015,48.69
2016,43.14
2017,50.88
2018,64.94
2019,57.83
